pdf_file,pdf_title_extracted,match_score,jsonl_id,jsonl_title,jsonl_author,jsonl_year,cnki_id,link,warning
BRICS-artikkelit\A Model of th... of the BRICS_Cheng ZhijieI...ng University.pdf,复合机制模式: 金砖机制建设的理论与实践方向,100,art_000240,复合机制模式:金砖机制建设的理论与实践方向,成志杰;,2018,GGXY201801011,https://oversea.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=GGXY201801011&dbname=CJFDLAST2018,
BRICS-artikkelit\A Study on Ec...ICS Countries_JIA Zhongzhen...cial Sciences.pdf,金砖国家经贸安全合作: 挑战与对策,100,art_000349,金砖国家经贸安全合作:挑战与对策,贾中正;,2017,GGXB201704008,https://oversea.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=GGXB201704008&dbname=CJFDLAST2017,
BRICS-artikkelit\An Analysis o...y Predicament_Li YaningLin ...ao University.pdf,析依附“怪圈”背景下金砖国家发展的困境与出路,100,art_000225,析依附“怪圈”背景下金砖国家发展的困境与出路,李亚宁;林少真;,2016,GGXY201604006,https://oversea.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=GGXY201604006&dbname=CJFDLAST2016,
BRICS-artikkelit\Voskressenski...ICS Countries_A Voskressens...ngSun Mingrui.pdf,·金砖国家文化研究专题·,88,art_000002,金砖国家文化研究,李兴;,2015,ELSW201504019,https://oversea.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=ELSW201504019&dbname=CJFDLAST2016,
Keski-Aasia-artikkelit\_The Post-Sov...sis Framework_Wang Zhiyuan.pdf,“后苏联空间”与“丝绸之路经济带”：,81,,,,,,,LOW_MATCH(score<85)
Keski-Aasia-artikkelit\Adjustment of...ts Evaluation_Cheng Yali__Han Jun.pdf,英国对中亚政策的调整及其评估 国,96,art_000653,英国对中亚政策的调整及其评估,程雅丽;韩隽;,2025,XDGG202503003,https://oversea.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=XDGG202503003&dbname=CJFDLAST2025,
Keski-Aasia-artikkelit\Area Polarity... Central Asia_Xiao Bin.pdf,中国对中亚的外交哲学,68,,,,,,,LOW_MATCH(score<85)
Keski-Aasia-artikkelit\Dovetailing a...the Silk Road_Zhao Longthe ...nal Relations.pdf,对接联动: 丝路经济带利益链的构建,100,art_000221,对接联动:丝路经济带利益链的构建,赵隆;,2015,GGXY201505009,https://oversea.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=GGXY201505009&dbname=CJFDLAST2015,
Keski-Aasia-artikkelit\Energy_Coopet...terdependence_Cui Hongwei.pdf,中 俄 欧 在 中 亚 的 能 源 竞 合 关 系,68,,,,,,,LOW_MATCH(score<85)
Keski-Aasia-artikkelit\Framework Cha...n Integration_Gu Weithe Ins...cial Sciences.pdf,中亚一体化的架构变化与发展前景,100,art_000190,中亚一体化的架构变化与发展前景,顾炜;,2020,GGXY202002002,https://oversea.cnki.net/kcms/detail/detail.aspx?dbcode=CJFD&filename=GGXY202002002&dbname=CJFDLAST2020,
